power,rpm
0,0.00
1,0.00
2,40.00
3,40.00
4,40.00
5,60.00
6,60.00
7,70.00
8,90.00
9,90.00
10,110.00
11,120.00
12,120.00
13,140.00
14,140.00
15,150.00
16,170.00
17,180.00
18,190.00
19,190.00
20,210.00
21,220.00
22,220.00
23,230.00
24,250.00
25,260.00
26,260.00
27,270.00
28,290.00
29,290.00
30,300.00
31,310.00
32,340.00
33,340.00
34,350.00
35,360.00
36,370.00
37,380.00
38,390.00
39,400.00
40,400.00
41,410.00
42,420.00
43,440.00
44,440.00
45,450.00
46,470.00
47,470.00
48,490.00
49,500.00
50,500.00
51,530.00
52,520.00
53,540.00
54,550.00
55,560.00
56,570.00
57,590.00
58,590.00
59,590.00
60,610.00
61,640.00
62,630.00
63,640.00
64,650.00
65,670.00
66,670.00
67,680.00
68,690.00
69,700.00
70,710.00
71,720.00
72,730.00
73,740.00
74,750.00
75,760.00
76,770.00
77,780.00
78,800.00
79,800.00
80,810.00
81,820.00
82,830.00
83,820.00
84,840.00
85,850.00
86,850.00
87,840.00
88,850.00
89,860.00
90,850.00
91,850.00
92,840.00
93,870.00
94,850.00
95,850.00
96,860.00
97,840.00
98,850.00
99,850.00
100,850.00
